LOGFOLIO — AI COST MODEL & MARGIN TRACKER,,,,,,
Last updated,2026-03-24,,,,,
Pro Plus price (monthly),$14.99,,,,,
,,,,,,
--- ANTHROPIC PRICING ---,,,,,,
Model,Input (per 1M tokens),Output (per 1M tokens),,,,,
claude-haiku-4-5-20251001,$0.80,$4.00,,,,,
claude-sonnet-4-6,$3.00,$15.00,,,,,
,,,,,,
--- FEATURE BREAKDOWN ---,,,,,,
Feature,Model,Est. Input Tokens,Max Output Tokens,Cost Per Call,Daily Limit,Max Cost/Day,Max Cost/Month
AI Assist (Plan a Trade),claude-haiku-4-5-20251001,400,400,$0.0019,3,$0.0057,$0.17
AI Insights (Journal Analysis),claude-sonnet-4-6,3000,2000,$0.039,3,$0.117,$3.51
,,,,,,
--- WORST CASE SCENARIO (user maxes BOTH features daily) ---,,,,,,
Total max AI cost per user/month,,$3.68,,,,,
Pro Plus revenue per user/month,,$14.99,,,,,
Gross margin (after AI cost),,$11.31,,,,,
Gross margin %,,75.5%,,,,,
,,,,,,
--- BREAK-EVEN ANALYSIS ---,,,,,,
"How many pro_plus users needed to break even on AI costs alone (at max usage):",,,,,,,
Break-even users,,1,,,,,
"Note: Even 1 heavy user is profitable at max usage. Margin is healthy at scale.",,,,,,,
,,,,,,
--- REALISTIC SCENARIO (avg 1 Insights + 1 Assist per week per user) ---,,,,,,
AI Insights (4/month),,$0.156,,,,,
AI Assist (4/month),,$0.0076,,,,,
Realistic AI cost/user/month,,$0.16,,,,,
Realistic gross margin,,$14.83,,,,,
Realistic gross margin %,,98.9%,,,,,
,,,,,,
--- NOTES ---,,,,,,
"- AI Insights and AI Assist now have separate 3/day counters (as of 2026-03-24)",,,,,,,
"- Models: Insights uses Sonnet 4.6, Assist uses Haiku 4.5",,,,,,,
"- Max tokens cap server-side: 4000 (Insights requests 2000, Assist requests 400)",,,,,,,
"- All costs exclude Vercel/Supabase/Stripe fees",,,,,,,
